Metro Area,State,Cost of Living
Springfield,Missouri,86.7
St. Cloud,Minnesota,95.4
St. Louis,Missouri,89.6
Stockton,California,113.6
Syracuse,New York,95.1
Tallahassee,Florida,96.4
Tampa-St. Petersburg-Clearwater,Florida,101.4
Toledo,Ohio,87.5
Topeka,Kansas,85.6
Trenton-Ewing,New Jersey,104.3
Tucson,Arizona,97.7
Tulsa,Oklahoma,86.7
Tuscaloosa,Alabama,91
Tyler,Texas,92.8
Utica-Rome,New York,94.1
Vallejo-Fairfield,California,125.2
Virginia Beach-Norfolk-Newport News,Virginia,99
Visalia-Porterville,California,103.6
Waco,Texas,89.5
Washington-Arlington-Alexandria,Washington DC,120.1
Wichita,Kansas,86.8
Wilmington,North Carolina,99
Worcester,Massachusetts,113.2
Yakima,Washington,97.5
York-Hanover,Pennsylvania,95.8
Youngstown-Warren-Boardman,Ohio,86.4
Yuma,Arizona,94.5
Crestview-Fort Walton Beach-Destin,Florida,104.7
Holland-Grand Haven,Michigan,96.2
Los Angeles-Long Beach-Santa Ana,California,140.6
Lafayette,Indiana,88.7
North Port-Bradenton-Sarasota,Florida,104.4
Santa Barbara-Santa Maria-Goleta,California,143
Honolulu,Hawaii,158
Dallas-Fort Worth-Arlington,Texas,98.5
Bridgeport-Stamford-Norwalk,Connecticut,119.2
Davenport-Moline-Rock Island,Iowa,87.2
Cape Coral-Fort Myers,Florida,101.5
Deltona-Daytona Beach-Ormond Beach,Florida,99.6
Miami-Fort Lauderdale-Pompano Beach,Florida,110.1
Hagerstown-Martinsburg,Maryland,99.7
Minneapolis-St. Paul-Bloomington,Minnesota,105.4
Oxnard-Thousand Oaks-Ventura,California,132.2
Palm Bay-Melbourne-Titusville,Florida,99.3
Norwich-New London,Connecticut,105.9
Asheville,North Carolina,103.3
Albuquerque,New Mexico,92.9
